id,fornecedor_id,marca_id,nome_lente,nome_comercial,tipo_lente,material,indice_refracao,categoria,tratamento_antirreflexo,tratamento_antirrisco,tratamento_uv,tratamento_blue_light,tratamento_fotossensiveis,fotossensivel,ar,blue,uv400,antirrisco,esferico_min,esferico_max,cilindrico_min,cilindrico_max,grau_esferico_min,grau_esferico_max,grau_cilindrico_min,grau_cilindrico_max,preco_custo,custo_base,preco_tabela,status,ativo,disponivel,prazo_entrega,adicao_min,adicao_max
60b9acd4-639b-4962-bf32-0c0d9ae0d52f,2ee5b31f-0e98-467b-9c69-251f284c4a78,89264c78-2dcb-494b-a9f8-d7b6e54c3a10,HV PRIME CR AR 1.56,HV PRIME CR AR 1.56,visao_simples,CR39,1.56,economica,True,True,False,False,nenhum,nenhum,True,False,False,True,-6.0,6.0,0.0,-2.0,-6.0,6.0,0.0,-2.0,13.0,13.0,251.3,ativo,True,True,3,,
91f60dd6-2b92-4b0d-9176-f647610d90bc,2ee5b31f-0e98-467b-9c69-251f284c4a78,89264c78-2dcb-494b-a9f8-d7b6e54c3a10,HV PRIME CR AR 1.56 CIL EXT,HV PRIME CR AR 1.56 CIL EXT,visao_simples,CR39,1.56,economica,True,True,False,False,nenhum,nenhum,True,False,False,True,-6.0,5.0,0.0,-4.0,-6.0,5.0,0.0,-4.0,32.0,32.0,253.2,ativo,True,True,3,,
6c5c87cf-5cd5-4c27-aadf-841e25027518,2ee5b31f-0e98-467b-9c69-251f284c4a78,89264c78-2dcb-494b-a9f8-d7b6e54c3a10,HV PRIME CR AR 1.56 BLUE,HV PRIME CR AR 1.56 BLUE,visao_simples,CR39,1.56,economica,True,True,False,True,nenhum,nenhum,True,True,False,True,-6.0,4.0,0.0,-2.0,-6.0,4.0,0.0,-2.0,22.0,22.0,252.2,ativo,True,True,3,,
b537eb51-2214-4ca0-80d0-e0752912afdc,2ee5b31f-0e98-467b-9c69-251f284c4a78,89264c78-2dcb-494b-a9f8-d7b6e54c3a10,HV PRIME CR AR 1.56 BLUE CIL EXT,HV PRIME CR AR 1.56 BLUE CIL EXT,visao_simples,CR39,1.56,economica,True,True,False,True,nenhum,nenhum,True,True,False,True,-4.0,4.0,0.0,-4.0,-4.0,4.0,0.0,-4.0,58.0,58.0,255.8,ativo,True,True,3,,
70ff90d2-74b2-4b76-adb1-5cd76b1f3c44,2ee5b31f-0e98-467b-9c69-251f284c4a78,89264c78-2dcb-494b-a9f8-d7b6e54c3a10,HV PRIME CR AR FOTO,HV PRIME CR AR FOTO,visao_simples,CR39,1.56,economica,True,True,False,False,fotocromático,fotocromático,True,False,False,True,-4.0,4.0,0.0,-2.0,-4.0,4.0,0.0,-2.0,37.0,37.0,253.7,ativo,True,True,3,,
31f77d2f-b536-4012-a5f7-d232fd5aa3a7,2ee5b31f-0e98-467b-9c69-251f284c4a78,89264c78-2dcb-494b-a9f8-d7b6e54c3a10,HV PRIME CR AR FOTO CIL EXT,HV PRIME CR AR FOTO CIL EXT,visao_simples,CR39,1.56,economica,True,True,False,False,fotocromático,fotocromático,True,False,False,True,-4.0,4.0,0.0,-4.0,-4.0,4.0,0.0,-4.0,45.0,45.0,254.5,ativo,True,True,3,,
c22ef7aa-bef2-4c2f-9e0c-ab6e50c6667c,2ee5b31f-0e98-467b-9c69-251f284c4a78,89264c78-2dcb-494b-a9f8-d7b6e54c3a10,HV PRIME CR AR FOTO BLUE,HV PRIME CR AR FOTO BLUE,visao_simples,CR39,1.56,economica,True,True,False,True,fotocromático,fotocromático,True,True,False,True,-6.0,4.0,0.0,-2.0,-6.0,4.0,0.0,-2.0,52.0,52.0,255.2,ativo,True,True,3,,
79ca4a16-03fd-4792-a477-290319f0caf5,2ee5b31f-0e98-467b-9c69-251f284c4a78,89264c78-2dcb-494b-a9f8-d7b6e54c3a10,HV PRIME CR AR FOTO BLUE CIL EXT,HV PRIME CR AR FOTO BLUE CIL EXT,visao_simples,CR39,1.56,economica,True,True,False,True,fotocromático,fotocromático,True,True,False,True,-4.0,4.0,0.0,-4.0,-4.0,4.0,0.0,-4.0,62.0,62.0,256.2,ativo,True,True,3,,
bc4c8533-eec5-4b08-aee0-fa31421d6408,2ee5b31f-0e98-467b-9c69-251f284c4a78,89264c78-2dcb-494b-a9f8-d7b6e54c3a10,HV PRIME POLI INCOLOR,HV PRIME POLI INCOLOR,visao_simples,POLICARBONATO,1.59,intermediaria,False,True,True,False,nenhum,nenhum,False,False,True,True,-6.0,6.0,0.0,-2.0,-6.0,6.0,0.0,-2.0,22.0,22.0,252.2,ativo,True,True,3,,
23dcbcaf-8303-4311-ada9-15d2c81e7e11,2ee5b31f-0e98-467b-9c69-251f284c4a78,89264c78-2dcb-494b-a9f8-d7b6e54c3a10,HV PRIME POLI INCOLOR CIL EXT,HV PRIME POLI INCOLOR CIL EXT,visao_simples,POLICARBONATO,1.59,intermediaria,False,True,True,False,nenhum,nenhum,False,False,True,True,-6.0,4.0,0.0,-4.0,-6.0,4.0,0.0,-4.0,38.0,38.0,253.8,ativo,True,True,3,,
76f44ba6-b2e1-4545-9171-a4059d6d72a0,2ee5b31f-0e98-467b-9c69-251f284c4a78,89264c78-2dcb-494b-a9f8-d7b6e54c3a10,HV PRIME POLI AR 1.59,HV PRIME POLI AR 1.59,visao_simples,POLICARBONATO,1.59,intermediaria,True,True,True,False,nenhum,nenhum,True,False,True,True,-6.0,6.0,0.0,-2.0,-6.0,6.0,0.0,-2.0,25.0,25.0,252.5,ativo,True,True,3,,
c850fd83-ebda-48a6-90df-bdb8a4616968,2ee5b31f-0e98-467b-9c69-251f284c4a78,89264c78-2dcb-494b-a9f8-d7b6e54c3a10,HV PRIME POLI AR 1.59 CIL EXT,HV PRIME POLI AR 1.59 CIL EXT,visao_simples,POLICARBONATO,1.59,intermediaria,True,True,True,False,nenhum,nenhum,True,False,True,True,-6.0,4.0,0.0,-4.0,-6.0,4.0,0.0,-4.0,43.0,43.0,254.3,ativo,True,True,3,,
b3415ac6-4ed6-4589-a8dd-f53fdcb17337,2ee5b31f-0e98-467b-9c69-251f284c4a78,89264c78-2dcb-494b-a9f8-d7b6e54c3a10,HV PRIME POLI AR 1.59 BLUE,HV PRIME POLI AR 1.59 BLUE,visao_simples,POLICARBONATO,1.59,intermediaria,True,True,True,True,nenhum,nenhum,True,True,True,True,-6.0,6.0,0.0,-2.0,-6.0,6.0,0.0,-2.0,48.0,48.0,254.8,ativo,True,True,3,,
fbb6e9ec-fc38-4869-a3b2-bfc6dbbb0866,2ee5b31f-0e98-467b-9c69-251f284c4a78,89264c78-2dcb-494b-a9f8-d7b6e54c3a10,HV PRIME POLI AR 1.59 BLUE CIL EXT,HV PRIME POLI AR 1.59 BLUE CIL EXT,visao_simples,POLICARBONATO,1.59,intermediaria,True,True,True,True,nenhum,nenhum,True,True,True,True,-6.0,6.0,0.0,-4.0,-6.0,6.0,0.0,-4.0,58.0,58.0,255.8,ativo,True,True,3,,
55155ac3-ec52-4e59-929c-68488dd53cde,2ee5b31f-0e98-467b-9c69-251f284c4a78,89264c78-2dcb-494b-a9f8-d7b6e54c3a10,HV PRIME POLI AR FOTO 1.59,HV PRIME POLI AR FOTO 1.59,visao_simples,POLICARBONATO,1.59,intermediaria,True,True,True,False,fotocromático,fotocromático,True,False,True,True,-6.0,4.0,0.0,-2.0,-6.0,4.0,0.0,-2.0,85.0,85.0,258.5,ativo,True,True,3,,
16b29fc0-6cc7-4a31-9c52-b43014b06b85,2ee5b31f-0e98-467b-9c69-251f284c4a78,89264c78-2dcb-494b-a9f8-d7b6e54c3a10,HV PRIME POLI AR FOTO 1.59 CIL EXT,HV PRIME POLI AR FOTO 1.59 CIL EXT,visao_simples,POLICARBONATO,1.59,intermediaria,True,True,True,False,fotocromático,fotocromático,True,False,True,True,-4.0,4.0,0.0,-4.0,-4.0,4.0,0.0,-4.0,165.0,165.0,495.0,ativo,True,True,3,,
d29b7846-60ed-4294-b377-5875727ee49e,2ee5b31f-0e98-467b-9c69-251f284c4a78,89264c78-2dcb-494b-a9f8-d7b6e54c3a10,HIGH VISION 1.61,HIGH VISION 1.61,visao_simples,HIGH_INDEX,1.61,intermediaria,False,False,True,False,nenhum,nenhum,False,False,True,False,-11.0,11.0,0.0,-4.0,-11.0,11.0,0.0,-4.0,220.0,220.0,660.0,ativo,True,True,3,,
cedbe379-9752-48af-a8b2-5e9aa678c2cf,2ee5b31f-0e98-467b-9c69-251f284c4a78,89264c78-2dcb-494b-a9f8-d7b6e54c3a10,HIGH VISION 1.67,HIGH VISION 1.67,visao_simples,HIGH_INDEX,1.67,intermediaria,False,False,True,False,nenhum,nenhum,False,False,True,False,-13.0,13.0,0.0,-4.0,-13.0,13.0,0.0,-4.0,300.0,300.0,900.0,ativo,True,True,3,,
5bdfa702-cf94-40ab-bde7-7e62cdcd4fa9,2ee5b31f-0e98-467b-9c69-251f284c4a78,89264c78-2dcb-494b-a9f8-d7b6e54c3a10,HIGH VISION 1.74,HIGH VISION 1.74,visao_simples,HIGH_INDEX,1.74,intermediaria,False,False,True,False,nenhum,nenhum,False,False,True,False,-15.0,13.0,0.0,-4.0,-15.0,13.0,0.0,-4.0,640.0,640.0,1920.0,ativo,True,True,3,,
