id,fornecedor_id,marca_id,nome_lente,nome_comercial,tipo_lente,material,indice_refracao,categoria,tratamento_antirreflexo,tratamento_antirrisco,tratamento_uv,tratamento_blue_light,tratamento_fotossensiveis,ar,blue,uv400,antirrisco,polarizado,esferico_min,esferico_max,cilindrico_min,cilindrico_max,adicao_min,adicao_max,preco_custo,custo_base,preco_tabela,status,ativo,disponivel,prazo_entrega
5722c1e3-a012-4b0f-8b3a-8b270a8e253c,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,HOYA NULUX Miolight (neg) / Hiperlight (pos) 1.67 BlueControl,NULUX Miolight (neg) / Hiperlight (pos),visao_simples,HIGH_INDEX,1.67,premium,True,True,True,True,nenhum,True,True,True,True,False,-10.0,6.0,-3.0,0.0,0.0,0.0,1320.0,1320.0,3960.0,ativo,True,True,10
827a7545-33ee-4b14-9482-62594c35c6ab,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,HOYA NULUX Miolight (neg) / Hiperlight (pos) 1.67 LongLife UV,NULUX Miolight (neg) / Hiperlight (pos),visao_simples,HIGH_INDEX,1.67,premium,True,True,True,False,nenhum,True,False,True,True,False,-10.0,6.0,-2.0,0.0,0.0,0.0,1350.0,1350.0,4050.0,ativo,True,True,10
f48c9d02-d9f3-4a82-b785-945ea3a18a43,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,HOYA NULUX Miolight (neg) / Hiperlight (pos) 1.61 LongLife UV,NULUX Miolight (neg) / Hiperlight (pos),visao_simples,HIGH_INDEX,1.61,premium,True,True,True,False,nenhum,True,False,True,True,False,-10.0,6.0,-2.0,0.0,0.0,0.0,1050.0,1050.0,3150.0,ativo,True,True,10
b416150d-c7b5-45dc-bef8-e86dfa93d6be,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,HOYA NULUX Miolight (neg) / Hiperlight (pos) 1.74 LongLife,NULUX Miolight (neg) / Hiperlight (pos),visao_simples,HIGH_INDEX,1.74,premium,True,True,True,False,nenhum,True,False,True,True,False,-12.0,-2.0,-2.0,0.0,0.0,0.0,1870.0,1870.0,5610.0,ativo,True,True,10
37a73eaf-48cd-420a-a32e-9664f015f4e1,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,HOYA NULUX Miolight (neg) / Hiperlight (pos) 1.61 No-Risk BlueControl,NULUX Miolight (neg) / Hiperlight (pos),visao_simples,HIGH_INDEX,1.61,premium,True,True,True,True,nenhum,True,True,True,True,False,-10.0,6.0,-3.0,0.0,0.0,0.0,1149.0,1149.0,3447.0,ativo,True,True,10
a1df9822-488d-4baa-9d2c-84a4113acab4,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,HOYA NULUX Miolight (neg) / Hiperlight (pos) 1.61 No-Risk,NULUX Miolight (neg) / Hiperlight (pos),visao_simples,HIGH_INDEX,1.61,premium,False,False,True,False,nenhum,False,False,True,False,False,-6.0,6.0,-2.0,0.0,0.0,0.0,862.0,862.0,2586.0,ativo,True,True,10
172d67fe-62f1-4324-a181-a5c196b4247e,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,HOYA NULUX Miolight (neg) / Hiperlight (pos) 1.50 Hard,NULUX Miolight (neg) / Hiperlight (pos),visao_simples,TRIVEX,1.50,premium,True,True,False,False,nenhum,True,False,False,True,False,-6.0,6.0,-2.0,0.0,0.0,0.0,590.0,590.0,1770.0,ativo,True,True,10
eb11bcc8-2689-4660-a6ee-cf6b62fc7765,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,HOYA NULUX Miolight (neg) / Hiperlight (pos) 1.67 BlueControl,NULUX Miolight (neg) / Hiperlight (pos),visao_simples,HIGH_INDEX,1.67,premium,True,True,True,True,nenhum,True,True,True,True,False,-8.0,6.0,-2.0,0.0,0.0,0.0,1840.0,1840.0,5520.0,ativo,True,True,10
daf79a46-cee0-43ec-b910-81bc93476fe6,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,HOYA HILUX VS Premium 1.50 BlueControl,HILUX VS Premium,visao_simples,TRIVEX,1.50,premium,True,True,True,True,nenhum,True,True,True,True,False,-4.0,4.0,-2.0,0.0,0.0,0.0,910.0,910.0,2730.0,ativo,True,True,10
c34aa21c-95f8-4944-b28f-5930943ce3f3,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,HOYA HILUX VS Premium 1.50 BlueControl,HILUX VS Premium,visao_simples,CR39,1.50,premium,True,True,True,True,nenhum,True,True,True,True,False,-4.0,4.0,-2.0,0.0,0.0,0.0,755.0,755.0,2265.0,ativo,True,True,10
20b2e26a-220f-498d-87a1-8301b23637f5,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,HOYA HILUX VS Premium 1.50 BlueControl,HILUX VS Premium,visao_simples,TRIVEX,1.50,premium,True,True,True,True,nenhum,True,True,True,True,False,-4.0,4.0,-2.0,0.0,0.0,0.0,1590.0,1590.0,4770.0,ativo,True,True,10
e0c18a70-9411-4a72-8888-655a40cf915e,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,HOYA HILUX VS Premium 1.50 BlueControl,HILUX VS Premium,visao_simples,CR39,1.50,premium,True,True,True,True,nenhum,True,True,True,True,False,-4.0,4.0,-2.0,0.0,0.0,0.0,1015.0,1015.0,3045.0,ativo,True,True,10
0cd35054-939b-49b6-92bb-2d9fb482573a,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,HOYA WORKSTYLE V+ Workstyle V+ 1.74 BlueControl,WORKSTYLE V+ Workstyle V+,ocupacional,HIGH_INDEX,1.74,premium,True,True,True,True,nenhum,True,True,True,True,False,-15.0,9.0,-6.0,0.0,1.0,3.5,7115.0,7115.0,21345.0,ativo,True,True,10
f59259c6-b512-4097-ab6f-2704b4c51842,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,HOYA WORKSTYLE V+ Workstyle V+ 1.67 BlueControl,WORKSTYLE V+ Workstyle V+,ocupacional,HIGH_INDEX,1.67,premium,True,True,True,True,nenhum,True,True,True,True,False,-15.0,9.0,-6.0,0.0,1.0,3.5,5603.0,5603.0,16809.0,ativo,True,True,10
560a35ac-a645-43ce-8e89-2b015f52e9c6,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,HOYA WORKSTYLE V+ Workstyle V+ 1.61 BlueControl,WORKSTYLE V+ Workstyle V+,ocupacional,HIGH_INDEX,1.61,premium,True,True,True,True,nenhum,True,True,True,True,False,-15.0,9.0,-6.0,0.0,1.0,3.5,3821.0,3821.0,11463.0,ativo,True,True,10
d8794422-1995-4623-a4c7-233a446b0c03,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,HOYA WORKSTYLE V+ Workstyle V+ 1.50 BlueControl,WORKSTYLE V+ Workstyle V+,ocupacional,TRIVEX,1.50,premium,True,True,True,True,nenhum,True,True,True,True,False,-15.0,9.0,-6.0,0.0,1.0,3.5,3335.0,3335.0,10005.0,ativo,True,True,10
c6c70044-8970-4a66-ac41-715c6ebef649,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,HOYA WORKSTYLE V+ Workstyle V+ 1.50 BlueControl,WORKSTYLE V+ Workstyle V+,ocupacional,CR39,1.50,premium,True,True,True,True,nenhum,True,True,True,True,False,-15.0,9.0,-6.0,0.0,1.0,3.5,3011.0,3011.0,9033.0,ativo,True,True,10
e160a113-e49c-47b5-ae23-c9c1676020ef,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,HOYA WORKSTYLE V+ Workstyle V+ 1.74 LongLife,WORKSTYLE V+ Workstyle V+,ocupacional,HIGH_INDEX,1.74,premium,True,True,True,False,nenhum,True,False,True,True,False,-15.0,9.0,-6.0,0.0,1.0,3.5,7115.0,7115.0,21345.0,ativo,True,True,10
92b69551-9c01-415c-a5e1-3723427692c5,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,HOYA WORKSTYLE V+ Workstyle V+ 1.67 LongLife,WORKSTYLE V+ Workstyle V+,ocupacional,HIGH_INDEX,1.67,premium,True,True,True,False,nenhum,True,False,True,True,False,-15.0,9.0,-6.0,0.0,1.0,3.5,5603.0,5603.0,16809.0,ativo,True,True,10
28bd91f8-5210-4b83-a394-2d36f0321742,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,HOYA WORKSTYLE V+ Workstyle V+ 1.61 LongLife,WORKSTYLE V+ Workstyle V+,ocupacional,HIGH_INDEX,1.61,premium,True,True,True,False,nenhum,True,False,True,True,False,-15.0,9.0,-6.0,0.0,1.0,3.5,3821.0,3821.0,11463.0,ativo,True,True,10
9c24b9ab-dd32-4e7b-bc8e-1e1b8d07b18d,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,HOYA WORKSTYLE V+ Workstyle V+ 1.50 LongLife,WORKSTYLE V+ Workstyle V+,ocupacional,TRIVEX,1.50,premium,True,True,False,False,nenhum,True,False,False,True,False,-15.0,9.0,-6.0,0.0,1.0,3.5,3335.0,3335.0,10005.0,ativo,True,True,10
51c8c966-d094-430e-b67c-df6ade0a91f3,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,HOYA WORKSTYLE V+ Workstyle V+ 1.50 LongLife,WORKSTYLE V+ Workstyle V+,ocupacional,CR39,1.50,premium,True,True,False,False,nenhum,True,False,False,True,False,-15.0,9.0,-6.0,0.0,1.0,3.5,3011.0,3011.0,9033.0,ativo,True,True,10
cf210bd2-c5af-436f-a0a6-671f2de24f3b,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,HOYA WORKSTYLE V+ Workstyle V+ 1.74 No-Risk BlueControl,WORKSTYLE V+ Workstyle V+,ocupacional,HIGH_INDEX,1.74,premium,True,True,True,True,nenhum,True,True,True,True,False,-15.0,9.0,-6.0,0.0,1.0,3.5,6845.0,6845.0,20535.0,ativo,True,True,10
06fafb0f-efbc-4574-bb5f-0662024fe127,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,HOYA WORKSTYLE V+ Workstyle V+ 1.67 No-Risk BlueControl,WORKSTYLE V+ Workstyle V+,ocupacional,HIGH_INDEX,1.67,premium,True,True,True,True,nenhum,True,True,True,True,False,-15.0,9.0,-6.0,0.0,1.0,3.5,5333.0,5333.0,15999.0,ativo,True,True,10
8b4ed408-b1f6-45a4-b00e-6af8212c77e1,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,HOYA WORKSTYLE V+ Workstyle V+ 1.61 No-Risk BlueControl,WORKSTYLE V+ Workstyle V+,ocupacional,HIGH_INDEX,1.61,premium,True,True,True,True,nenhum,True,True,True,True,False,-15.0,9.0,-6.0,0.0,1.0,3.5,3551.0,3551.0,10653.0,ativo,True,True,10
e82151a8-a7e5-40fd-a84f-d4403d6aa254,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,HOYA WORKSTYLE V+ Workstyle V+ 1.50 No-Risk BlueControl,WORKSTYLE V+ Workstyle V+,ocupacional,TRIVEX,1.50,premium,True,True,True,True,nenhum,True,True,True,True,False,-15.0,9.0,-6.0,0.0,1.0,3.5,3065.0,3065.0,9195.0,ativo,True,True,10
19fc98e7-eb2d-4613-ae83-cdc5bc866163,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,HOYA WORKSTYLE V+ Workstyle V+ 1.50 No-Risk BlueControl,WORKSTYLE V+ Workstyle V+,ocupacional,CR39,1.50,premium,True,True,True,True,nenhum,True,True,True,True,False,-15.0,9.0,-6.0,0.0,1.0,3.5,2741.0,2741.0,8223.0,ativo,True,True,10
803dc889-811f-4424-b33d-9c0a61fd1c28,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,HOYA WORKSTYLE V+ Workstyle V+ 1.74 No-Risk,WORKSTYLE V+ Workstyle V+,ocupacional,HIGH_INDEX,1.74,premium,False,False,True,False,nenhum,False,False,True,False,False,-15.0,9.0,-6.0,0.0,1.0,3.5,6845.0,6845.0,20535.0,ativo,True,True,10
0ba2c464-3c73-4c50-89df-9d8e33a3519a,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,HOYA WORKSTYLE V+ Workstyle V+ 1.67 No-Risk,WORKSTYLE V+ Workstyle V+,ocupacional,HIGH_INDEX,1.67,premium,False,False,True,False,nenhum,False,False,True,False,False,-15.0,9.0,-6.0,0.0,1.0,3.5,5333.0,5333.0,15999.0,ativo,True,True,10
030888e7-a3a6-4140-a882-a9293cccdb7e,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,HOYA WORKSTYLE V+ Workstyle V+ 1.61 No-Risk,WORKSTYLE V+ Workstyle V+,ocupacional,HIGH_INDEX,1.61,premium,False,False,True,False,nenhum,False,False,True,False,False,-15.0,9.0,-6.0,0.0,1.0,3.5,3551.0,3551.0,10653.0,ativo,True,True,10
029dce2f-e930-43ac-8749-459a384f1456,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,HOYA WORKSTYLE V+ Workstyle V+ 1.50 No-Risk,WORKSTYLE V+ Workstyle V+,ocupacional,TRIVEX,1.50,premium,False,False,False,False,nenhum,False,False,False,False,False,-15.0,9.0,-6.0,0.0,1.0,3.5,3065.0,3065.0,9195.0,ativo,True,True,10
50ef3285-ecca-410a-bafa-c96bfb35951f,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,HOYA WORKSTYLE V+ Workstyle V+ 1.50 No-Risk,WORKSTYLE V+ Workstyle V+,ocupacional,CR39,1.50,premium,False,False,False,False,nenhum,False,False,False,False,False,-15.0,9.0,-6.0,0.0,1.0,3.5,2741.0,2741.0,8223.0,ativo,True,True,10
1c8ba666-8966-4838-b2b0-45a5d59ec6d4,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,HOYA DESKTOP Premium Desktop Premium 1.50 BlueControl,DESKTOP Premium Desktop Premium,ocupacional,TRIVEX,1.50,premium,True,True,True,True,nenhum,True,True,True,True,False,-8.0,6.0,-4.0,0.0,1.0,3.5,2117.0,2117.0,6351.0,ativo,True,True,10
c9878aa1-9f87-4a96-b2e5-a302935c7986,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,HOYA DESKTOP Premium Desktop Premium 1.50 BlueControl,DESKTOP Premium Desktop Premium,ocupacional,CR39,1.50,premium,True,True,True,True,nenhum,True,True,True,True,False,-8.0,6.0,-4.0,0.0,1.0,3.5,1793.0,1793.0,5379.0,ativo,True,True,10
9bd1b5fe-bec6-4d55-9822-a5127f0d6334,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,HOYA DESKTOP Premium Desktop Premium 1.50 LongLife,DESKTOP Premium Desktop Premium,ocupacional,TRIVEX,1.50,premium,True,True,False,False,nenhum,True,False,False,True,False,-8.0,6.0,-4.0,0.0,1.0,3.5,2117.0,2117.0,6351.0,ativo,True,True,10
032bae22-8ca0-4496-9ee9-193839dde785,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,HOYA DESKTOP Premium Desktop Premium 1.50 LongLife,DESKTOP Premium Desktop Premium,ocupacional,CR39,1.50,premium,True,True,False,False,nenhum,True,False,False,True,False,-8.0,6.0,-4.0,0.0,1.0,3.5,1793.0,1793.0,5379.0,ativo,True,True,10
f96b1ba0-95fc-4c1e-834f-2a9efbff19b9,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,HOYA DESKTOP Premium Desktop Premium 1.50 No-Risk BlueControl,DESKTOP Premium Desktop Premium,ocupacional,TRIVEX,1.50,premium,True,True,True,True,nenhum,True,True,True,True,False,-8.0,6.0,-4.0,0.0,1.0,3.5,1847.0,1847.0,5541.0,ativo,True,True,10
01566e01-6839-41b9-b3a2-9d38fb26d07e,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,HOYA DESKTOP Premium Desktop Premium 1.50 No-Risk BlueControl,DESKTOP Premium Desktop Premium,ocupacional,CR39,1.50,premium,True,True,True,True,nenhum,True,True,True,True,False,-8.0,6.0,-4.0,0.0,1.0,3.5,1523.0,1523.0,4569.0,ativo,True,True,10
ec5d0837-1e96-4f6f-91ae-769d8e7e94b9,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,HOYA DESKTOP Premium Desktop Premium 1.50 No-Risk,DESKTOP Premium Desktop Premium,ocupacional,TRIVEX,1.50,premium,False,False,False,False,nenhum,False,False,False,False,False,-8.0,6.0,-4.0,0.0,1.0,3.5,1847.0,1847.0,5541.0,ativo,True,True,10
635dfc81-6c73-44b8-bdc7-b165ef75edf3,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,HOYA DESKTOP Premium Desktop Premium 1.50 No-Risk,DESKTOP Premium Desktop Premium,ocupacional,CR39,1.50,premium,False,False,False,False,nenhum,False,False,False,False,False,-8.0,6.0,-4.0,0.0,1.0,3.5,1523.0,1523.0,4569.0,ativo,True,True,10
76357043-f720-4369-a3eb-5b22a259025b,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,HOYA DESKTOP Premium Desktop Premium 1.50 CleanExtra,DESKTOP Premium Desktop Premium,ocupacional,TRIVEX,1.50,premium,False,False,False,False,nenhum,False,False,False,False,False,-8.0,6.0,-4.0,0.0,1.0,3.5,1469.0,1469.0,4407.0,ativo,True,True,10
c3bcdca8-8d3c-4ace-a0a2-fbb30ad51d5a,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,HOYA DESKTOP Premium Desktop Premium 1.50 CleanExtra,DESKTOP Premium Desktop Premium,ocupacional,CR39,1.50,premium,False,False,False,False,nenhum,False,False,False,False,False,-8.0,6.0,-4.0,0.0,1.0,3.5,1145.0,1145.0,3435.0,ativo,True,True,10
0677cf70-f0a8-4556-a241-4a47763d4a17,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,HOYA MiYOSMART MiYOSMART 1.61 MiYOSMART,MiYOSMART MiYOSMART,visao_simples,HIGH_INDEX,1.61,premium,True,True,True,False,nenhum,True,False,True,True,False,-6.0,0.0,-2.0,0.0,0.0,0.0,1989.0,1989.0,5967.0,ativo,True,True,10
95615949-7366-4bcc-a49f-f1a8f3c7299b,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,HOYA MiYOSMART MiYOSMART 1.61 MiYOSMART,MiYOSMART MiYOSMART,visao_simples,HIGH_INDEX,1.61,premium,True,True,True,False,nenhum,True,False,True,True,False,-6.0,0.0,-2.0,0.0,0.0,0.0,2189.0,2189.0,6567.0,ativo,True,True,10
e58ff844-e4de-4623-a4f3-4741aa5a94e9,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,HOYA MiYOSMART MiYOSMART 1.61 MiYOSMART,MiYOSMART MiYOSMART,visao_simples,HIGH_INDEX,1.61,premium,True,True,True,False,nenhum,True,False,True,True,False,-6.0,0.0,-2.0,0.0,0.0,0.0,2189.0,2189.0,6567.0,ativo,True,True,10
5ec8de8c-0bfe-4c1f-bed0-e9e4d8e239c3,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,HOYA ENROUTE Hoylux EnRoute 1.74 EnRoute,ENROUTE Hoylux EnRoute,visao_simples,HIGH_INDEX,1.74,premium,False,False,True,False,nenhum,False,False,True,False,False,-12.0,6.0,-6.0,0.0,0.75,3.5,6166.0,6166.0,18498.0,ativo,True,True,10
