id,nome,sku,preco_original,preco_promocional,categorias,descricao,url,timestamp,http_status
6,1-Day Acuvue Moist | Conforto Diário | Lentes de Contato Descartáveis – Lentenet,6,,26600,"Acuvue; Diárias; Fabricantes; Lentes de contato",🎁 Aproveitem o Combo 4 Caixas!,https://lentedecontato.lentenet.com.br/produto/1-day-acuvue-moist/,2026-01-28T04:59:30.494Z,200
10,1-Day Acuvue Moist Astigmatismo,10,,30000,"Acuvue; Astigmatismo / Tórica; Diárias; Fabricantes; Lentes de contato",🎁 Aproveitem o Combo 4 Caixas!,https://lentedecontato.lentenet.com.br/produto/1-day-acuvue-moist-astigmatismo/,2026-01-28T04:59:35.834Z,200
68,1 Day Acuvue Moist Multifocal,68,,33300,"Acuvue; Diárias; Fabricantes; Lentes de contato; Multifocais; Multifocais",,https://lentedecontato.lentenet.com.br/produto/1-day-acuvue-moist-multifocal/,2026-01-28T04:59:42.862Z,200
4,Acuvue Oasys 1-Day Com Hydraluxe,4,,24500,"Acuvue; Diárias; Fabricantes; Lentes de contato",🎁 Aproveitem o Combo 4 Caixas!,https://lentedecontato.lentenet.com.br/produto/acuvue-oasys-1-day-com-hydraluxe/,2026-01-28T04:59:48.207Z,200
79,Precision 1 Day,79,,13900,"Alcon; Diárias; Lentes de contato",,https://lentedecontato.lentenet.com.br/produto/precision-1-day/,2026-01-28T04:59:55.610Z,200
76,Ultra One Day,76,,22500,"Bausch & Lomb; Black Friday; Diárias; Fabricantes; Lentes de contato",,https://lentedecontato.lentenet.com.br/produto/ultra-one-day/,2026-01-28T05:00:03.473Z,200
28,Biotrue Oneday,28,,18000,"Bausch & Lomb; Diárias; Fabricantes; Lentes de contato",,https://lentedecontato.lentenet.com.br/produto/biotrue-oneday/,2026-01-28T05:00:11.523Z,200
46,Clariti 1 Day,46,,15440,"Black Friday; CooperVision; Diárias; Fabricantes; Lentes de contato",🎁 Aproveitem o Combo 4 Caixas!,https://lentedecontato.lentenet.com.br/produto/clariti-1-day/,2026-01-28T05:00:16.573Z,200
48,Clariti 1 Day Astigmatismo,48,,20000,"Astigmatismo / Tórica; Black Friday; CooperVision; Diárias; Fabricantes; Lentes de contato",,https://lentedecontato.lentenet.com.br/produto/clariti-1-day-astigmatismo/,2026-01-28T05:00:21.645Z,200
49,Clariti 1 Day Multifocal,49,,24500,"CooperVision; Diárias; Fabricantes; Lentes de contato; Multifocais","🎁 Na compra de 3 caixas, a 4ª é por nossa conta!",https://lentedecontato.lentenet.com.br/produto/clariti-1-day-multifocal/,2026-01-28T05:00:29.672Z,200
50,Proclear 1 Day,50,,14300,"CooperVision; Diárias; Fabricantes; Lentes de contato",,https://lentedecontato.lentenet.com.br/produto/proclear-1-day/,2026-01-28T05:00:35.441Z,200
29,Soflens Daily,29,,15000,"Bausch & Lomb; Diárias; Fabricantes; Lentes de contato",,https://lentedecontato.lentenet.com.br/produto/soflens-daily/,2026-01-28T05:00:42.877Z,200
2,Acuvue Oasys – 10% Off na segunda caixa,2,,23466,"Acuvue; Fabricantes; Lentes de contato; Quinzenais","🎁 10% de Desconto na Segunda Caixa! 🎁 Aproveitem o Combo 4 Caixas! Experimente o conforto superior das lentes Acuvue Oasys. Com tecnologia Hydraclear e proteção UV, ideais para olhos secos e ambientes desafiadores. Compre na Lentenet!",https://lentedecontato.lentenet.com.br/produto/acuvue-oasys/,2026-01-28T05:00:50.272Z,200
8,Acuvue 2,8,,21000,"Acuvue; Fabricantes; Lentes de contato; Mensais",🎁 Aproveitem o Combo 4 Caixas!,https://lentedecontato.lentenet.com.br/produto/acuvue-2/,2026-01-28T05:00:55.595Z,200
11,Air Optix Plus Hydraglyde,11,,30000,"Alcon; Black Friday; Fabricantes; Lentes de contato; Mensais",🎁 Aproveitem o Combo 4 Caixas!,https://lentedecontato.lentenet.com.br/produto/air-optix-aqua-plus-hydraglyde/,2026-01-28T05:01:00.659Z,200
43,Avaira,43,,17090,"Black Friday; CooperVision; Fabricantes; Lentes de contato; Mensais",,https://lentedecontato.lentenet.com.br/produto/avaira/,2026-01-28T05:01:05.770Z,200
18,Soflens 59,18,,17000,"Bausch & Lomb; Black Friday; Fabricantes; Lentes de contato; Mensais","🎁 Na compra de 3 caixas, a 4ª é por nossa conta!",https://lentedecontato.lentenet.com.br/produto/soflens-59/,2026-01-28T05:01:13.190Z,200
24,Purevision 2,24,,19000,"Bausch & Lomb; Black Friday; Fabricantes; Lentes de contato; Mensais","🎁 Na compra de 3 caixas, a 4ª é por nossa conta!",https://lentedecontato.lentenet.com.br/produto/purevision-2/,2026-01-28T05:01:18.271Z,200
19,Bausch + Lomb Ultra With Moisture Seal,19,,30000,"Bausch & Lomb; Fabricantes; Lentes de contato; Mensais","🎁 Na compra de 3 caixas, a 4ª é por nossa conta!",https://lentedecontato.lentenet.com.br/produto/bausch-lomb-ultra-with-moisture-seal/,2026-01-28T05:01:25.440Z,200
37,Biofinity,37,,21000,"Black Friday; CooperVision; Fabricantes; Lentes de contato; Mensais","🎁 Aproveitem o Combo 4 Caixas Biofinity! #sb-shield { position: fixed; background: url(https://seal.siteblindado.com/lentedecontato.lentenet.com.br/seal.png) no-repeat; width: 50px; height: 50px; left: 0; bottom: 20px; cursor: pointer; display: block; text-decoration: none; } #sb-shield, #sb-shield:hover { width:170px; } #sb-shield:hover #sb-banner { opacity:1; }#sb-shield-2 { background: url(https://seal.siteblindado.com/lentedecontato.lentenet.com.br/seal.png) no-repeat; width: 100%; height:",https://lentedecontato.lentenet.com.br/produto/biofinity/,2026-01-28T05:01:34.637Z,200
41,Biofinity XR – Graus Altos,41,,30000,"CooperVision; Fabricantes; Lentes de contato; Mensais",,https://lentedecontato.lentenet.com.br/produto/biofinity-xr/,2026-01-28T05:01:42.373Z,200
94,Proclear XR – Graus Altos,94,,17000,"CooperVision; Fabricantes; Lentes de contato; Mensais; Coopervision",,https://lentedecontato.lentenet.com.br/produto/proclear-xr/,2026-01-28T05:01:49.611Z,200
45,Biomedics 55 Evolution,45,,17500,"Black Friday; CooperVision; Fabricantes; Lentes de contato; Mensais",,https://lentedecontato.lentenet.com.br/produto/biomedics-55-evolution/,2026-01-28T05:01:56.561Z,200
44,Proclear,44,,15000,"CooperVision; Fabricantes; Lentes de contato; Mensais",,https://lentedecontato.lentenet.com.br/produto/proclear/,2026-01-28T05:02:02.019Z,200
53,Hidroblue (unidade),53,,12000,"Anuais; Fabricantes; Lentes de contato; Solótica",,https://lentedecontato.lentenet.com.br/produto/hidroblue/,2026-01-28T05:02:09.674Z,200
27,Optima 38,27,,13000,"Anuais; Bausch & Lomb; Fabricantes; Lentes de contato",,https://lentedecontato.lentenet.com.br/produto/optima-38/,2026-01-28T05:02:14.896Z,200
26,Optima FW,26,,13000,"Anuais; Bausch & Lomb; Fabricantes; Lentes de contato",,https://lentedecontato.lentenet.com.br/produto/optima-fw/,2026-01-28T05:02:19.921Z,200
9,Acuvue Oasys Astigmatismo,9,,42000,"Acuvue; Astigmatismo / Tórica; Fabricantes; Lentes de contato",🎁 Aproveitem o Combo 4 Caixas!,https://lentedecontato.lentenet.com.br/produto/acuvue-oasys-astigmatismo/,2026-01-28T05:02:27.493Z,200
12,Air Optix Plus Hydraglyde para Astigmatismo,12,,44000,"Alcon; Astigmatismo / Tórica; Black Friday; Fabricantes; Lentes de contato",🎁 Aproveitem o Combo 4 Caixas!,https://lentedecontato.lentenet.com.br/produto/air-optix-plus-hydraglyde-para-astigmatismo/,2026-01-28T05:02:34.328Z,200
25,Soflens Torica/Astigmatismo,25,,35000,"Astigmatismo / Tórica; Bausch & Lomb; Black Friday; Fabricantes; Lentes de contato","🎁 Na compra de 3 caixas, a 4ª é por nossa conta!",https://lentedecontato.lentenet.com.br/produto/soflens-para-astigmatismo/,2026-01-28T05:02:39.660Z,200
20,Bausch + Lomb Ultra para Astigmatismo,20,,43000,"Astigmatismo / Tórica; Bausch & Lomb; Fabricantes; Lentes de contato","🎁 Na compra de 3 caixas, a 4ª é por nossa conta!",https://lentedecontato.lentenet.com.br/produto/bausch-lomb-ultra-para-astigmatismo/,2026-01-28T05:02:47.534Z,200
39,Biofinity Toric,39,,35000,"Astigmatismo / Tórica; Black Friday; CooperVision; Fabricantes; Lentes de contato","🎁 Na compra de 3 caixas, a 4ª é por nossa conta!",https://lentedecontato.lentenet.com.br/produto/biofinity-toric/,2026-01-28T05:02:54.579Z,200
14,Air Optix Plus Hydraglyde Multifocal,14,,56000,"Alcon; Black Friday; Fabricantes; Lentes de contato; Multifocais",🎁 Aproveitem o Combo 4 Caixas!,https://lentedecontato.lentenet.com.br/produto/air-optix-aqua-multifocal/,2026-01-28T05:02:59.739Z,200
23,Purevision 2 Multifocal,23,,40000,"Bausch & Lomb; Black Friday; Fabricantes; Lentes de contato; Multifocais","🎁 Na compra de 3 caixas, a 4ª é por nossa conta!",https://lentedecontato.lentenet.com.br/produto/purevision-2-multifocal/,2026-01-28T05:03:06.838Z,200
22,Soflens Multifocal,22,,33900,"Bausch & Lomb; Black Friday; Fabricantes; Lentes de contato; Multifocais","🎁 Na compra de 3 caixas, a 4ª é por nossa conta!",https://lentedecontato.lentenet.com.br/produto/soflens-multifocal/,2026-01-28T05:03:13.907Z,200
21,Bausch+Lomb Ultra Multifocal,21,,42000,"Bausch & Lomb; Fabricantes; Lentes de contato; Multifocais","🎁 Na compra de 3 caixas, a 4ª é por nossa conta!",https://lentedecontato.lentenet.com.br/produto/bausch-lomb-ultra-multifocal/,2026-01-28T05:03:19.562Z,200
40,Biofinity Multifocal,40,,38000,"Black Friday; CooperVision; Fabricantes; Lentes de contato; Multifocais","🎁 Na compra de 3 caixas, a 4ª é por nossa conta!",https://lentedecontato.lentenet.com.br/produto/biofinity-multifocal/,2026-01-28T05:03:27.191Z,200
57,Hidrocor (unidade),57,,13000,"Anuais; Coloridas; Fabricantes; Solótica",,https://lentedecontato.lentenet.com.br/produto/hidrocor-unidade/,2026-01-28T05:03:32.592Z,200
31,Lunare Tri-Kolor Anual Graduada (Unidade),31,,12000,"Anuais; Bausch & Lomb; Coloridas; Fabricantes",,https://lentedecontato.lentenet.com.br/produto/lunare-tri-kolor-anual-graduada-unidade/,2026-01-28T05:03:39.778Z,200
32,Lunare Tri-Kolor Anual Sem Grau (o par),32,,22000,"Anuais; Bausch & Lomb; Coloridas; Fabricantes",,https://lentedecontato.lentenet.com.br/produto/lunare-tri-kolor-anual-graduada-o-par/,2026-01-28T05:03:47.536Z,200
52,Magic Top (Unidade),52,,13000,"Anuais; Coloridas; Fabricantes; Optolentes",,https://lentedecontato.lentenet.com.br/produto/magic-top-unidade/,2026-01-28T05:03:55.711Z,200
56,Natural Colors (unidade),56,,13000,"Anuais; Coloridas; Fabricantes; Solótica",,https://lentedecontato.lentenet.com.br/produto/natural-colors-unidade/,2026-01-28T05:04:03.397Z,200
15,Air Optix Colors,15,,13000,"Alcon; Coloridas; Fabricantes; Lentes de contato; Mensais",,https://lentedecontato.lentenet.com.br/produto/air-optix-colors/,2026-01-28T05:04:11.316Z,200
92,Air Optix Colors Combo 4 Caixas,92,,66000,"Alcon; Coloridas; Lentes de contato; Mensais",,https://lentedecontato.lentenet.com.br/produto/air-optix-colors-combo-4-caixas/,2026-01-28T05:04:17.115Z,200
51,Fantasy (o par),51,,12000,"Coloridas; Fabricantes; Mensais; Natural Vision",,https://lentedecontato.lentenet.com.br/produto/fantasy-o-par/,2026-01-28T05:04:22.823Z,200
58,Hidrocor Mensal,58,,13000,"Coloridas; Fabricantes; Mensais; Solótica",,https://lentedecontato.lentenet.com.br/produto/hidrocor-mensal/,2026-01-28T05:04:30.236Z,200
62,Lunare Tri-Kolor Mensal Graduada (Unidade),62,,7000,"Bausch & Lomb; Coloridas; Fabricantes; Mensais",,https://lentedecontato.lentenet.com.br/produto/lunare-tri-kolor-mensal-graduada-unidade/,2026-01-28T05:04:38.661Z,200
33,Lunare Tri-Kolor Mensal Sem Grau (o par),33,,12000,"Bausch & Lomb; Fabricantes; Mensais",,https://lentedecontato.lentenet.com.br/produto/lunare-tri-kolor-mensal-sem-grau-o-par/,2026-01-28T05:04:45.773Z,200
30,Soflens Starcolors II (O par),30,,6000,"Bausch & Lomb; Coloridas; Fabricantes; Mensais",,https://lentedecontato.lentenet.com.br/produto/soflens-starcolors-ii-o-par/,2026-01-28T05:04:52.914Z,200
54,Solflex Color Hype,54,,9999,"Coloridas; Fabricantes; Mensais; Solótica",,https://lentedecontato.lentenet.com.br/produto/solflex-color-hype/,2026-01-28T05:05:00.489Z,200
55,Solflex Natural Colors,55,,9999,"Coloridas; Fabricantes; Mensais; Solótica",,https://lentedecontato.lentenet.com.br/produto/solflex-natural-colors/,2026-01-28T05:05:06.128Z,200
65,1-Day Acuvue Moist Astigmatismo Combo 4 Caixas,65,,1.12304,"Acuvue; Combos promocionais",,https://lentedecontato.lentenet.com.br/produto/1-day-acuvue-moist-astigmatismo-combo/,2026-01-28T05:05:11.275Z,200
5,1-Day Acuvue Moist combo 4 caixas,5,,88668,"Acuvue; Combos promocionais",,https://lentedecontato.lentenet.com.br/produto/1-day-acuvue-moist-combo-4-caixas/,2026-01-28T05:05:19.402Z,200
7,Acuvue 2 – Combo com 4 Caixas | Lentes com Desconto | LenteNet,7,,75824,"Acuvue; Combos promocionais","Leve 4 caixas de Acuvue 2 com preço reduzido! Lentes confortáveis, seguras e originais. Frete grátis e desconto no PIX.",https://lentedecontato.lentenet.com.br/produto/acuvue-2-combo-4-caixas/,2026-01-28T05:05:24.536Z,200
3,Acuvue Oasys 1-Day Com Hydraluxe combo 4 caixas,3,,80000,"Acuvue; Combos promocionais",,https://lentedecontato.lentenet.com.br/produto/acuvue-oasys-1-day-com-hydraluxe-combo-4-caixas/,2026-01-28T05:05:30.054Z,200
60,Acuvue Oasys Astigmatismo Combo 4 Caixas,60,,1.12,"Acuvue; Combos promocionais",,https://lentedecontato.lentenet.com.br/produto/acuvue-oasys-astigmatismo-combo-4-caixas/,2026-01-28T05:05:35.487Z,200
1,Acuvue Oasys – Combo com 4 Caixas | Lentes de Contato – Lentenet,1,,98804,"Acuvue; Combos; Combos promocionais",Combo 4 caixas Acuvue Oasys com tecnologia Hydraclear Plus – conforto duradouro para miopia/hipermetropia. Entrega rápida na Lentenet.,https://lentedecontato.lentenet.com.br/produto/acuvue-oasys-combo-4-caixas/,2026-01-28T05:05:42.918Z,200
83,Air Optix Plus Hydraglyde Multifocal Combo 4 Caixas,83,,1.68,"Combos promocionais; Alcon; Black Friday",,https://lentedecontato.lentenet.com.br/produto/air-opaqua-multifocal-combo-4-caixas/,2026-01-28T05:05:48.348Z,200
84,Air Optix Plus Hydraglyde combo 4 caixas,84,,68000,"Alcon; Black Friday; Combos; Combos promocionais",,https://lentedecontato.lentenet.com.br/produto/air-optix-aqua-plus-hydraglyde-combo-4-caixas/,2026-01-28T05:05:54.599Z,200
86,Air Optix Plus Hydraglyde para Astigmatismo Combo 4 caixas,86,,1.02,"Alcon; Black Friday; Combos promocionais",,https://lentedecontato.lentenet.com.br/produto/air-optix-plus-hydraglyde-para-astigmatismo-combo-4-caixas/,2026-01-28T05:06:02.332Z,200
91,Precision 1 Day combo 4 caixas,91,,82000,"Alcon; Black Friday",,https://lentedecontato.lentenet.com.br/produto/precision-1-day-combo-4-caixas/,2026-01-28T05:06:09.193Z,200
34,Bausch + Lomb Ultra combo 4 caixas,34,,80000,"Bausch & Lomb; Black Friday; Combos promocionais",,https://lentedecontato.lentenet.com.br/produto/bausch-lomb-ultra-combo-4-caixas/,2026-01-28T05:06:14.316Z,200
36,Purevision 2 Combo 4 caixas,36,,68000,"Bausch & Lomb; Black Friday; Combos promocionais",,https://lentedecontato.lentenet.com.br/produto/purevision-2-combo-4-caixas/,2026-01-28T05:06:19.575Z,200
67,Purevision 2 Multifocal Combo 4 Caixas,67,,1.4,"Bausch & Lomb; Black Friday; Combos promocionais",,https://lentedecontato.lentenet.com.br/produto/purevision-2-multifocal-combo/,2026-01-28T05:06:24.611Z,200
35,Soflens 59 Comfort combo 4 caixas,35,,58000,"Bausch & Lomb; Black Friday; Combos promocionais",,https://lentedecontato.lentenet.com.br/produto/soflens-59-comfort-combo-4-caixas/,2026-01-28T05:06:32.081Z,200
66,Soflens Multifocal Combo 4 Caixas,66,,1.2,"Bausch & Lomb; Black Friday; Combos promocionais",,https://lentedecontato.lentenet.com.br/produto/soflens-multifocal-combo/,2026-01-28T05:06:40.155Z,200
63,Soflens para Astigmatismo Combo 4 Caixas,63,,99000,"Bausch & Lomb; Black Friday; Combos promocionais",,https://lentedecontato.lentenet.com.br/produto/soflens-para-astigmatismo-combo/,2026-01-28T05:06:45.383Z,200
82,Ultra One Day combo 4 caixas,82,,68000,"Bausch & Lomb; Black Friday; Combos promocionais",,https://lentedecontato.lentenet.com.br/produto/ultra-one-day-combo-4-caixas/,2026-01-28T05:06:50.642Z,200
42,Avaira Combo 4 Caixas,42,,64800,"Black Friday; Combos promocionais; CooperVision",,https://lentedecontato.lentenet.com.br/produto/avaira-combo-4-caixas/,2026-01-28T05:06:55.721Z,200
38,Biofinity Combo 4 Caixas,38,,84000,"Black Friday; Combos promocionais; CooperVision; Coopervision",,https://lentedecontato.lentenet.com.br/produto/biofinity-combo-4-caixas/,2026-01-28T05:07:00.816Z,200
93,Biofinity Combo 6 Caixas e ganhe 2 caixas de brinde,93,,1.68,"Black Friday; Combos promocionais; CooperVision; Coopervision",,https://lentedecontato.lentenet.com.br/produto/biofinity-combo-6-caixas/,2026-01-28T05:07:08.537Z,200
61,Biofinity Toric Combo 4 caixas,61,,1.196,"Black Friday; Combos promocionais; CooperVision",,https://lentedecontato.lentenet.com.br/produto/biofinity-toric-combo-4-caixas/,2026-01-28T05:07:15.721Z,200
47,Clariti 1 Day Combo 4 Caixas,47,,46000,"Black Friday; Combos promocionais; CooperVision",,https://lentedecontato.lentenet.com.br/produto/clariti-1-day-combo-4-caixas/,2026-01-28T05:07:20.971Z,200
64,Clariti 1 Day para Astigmatismo combo 4 caixas,64,,72000,"Black Friday; Combos promocionais; CooperVision",,https://lentedecontato.lentenet.com.br/produto/clariti-1-day-para-astigmatismo-combo/,2026-01-28T05:07:26.013Z,200